"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-04","7.83","0.00","53","60","44"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-05","4.92","0.00","53","62","44"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-06","6.04","0.00","55","64","45"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-07","5.14","0.00","56","64","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-08","6.04","0.00","57","64","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-09","8.28","0.00","57","63","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-10","6.93","0.00","61","77","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-11","8.50","0.00","65","73","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-12","6.04","0.00","59","66","49"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-13","6.71","0.00","58","66","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-14","6.26","0.00","58","66","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-15","5.82","0.00","57","65","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-16","5.37","0.00","58","67","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-17","5.59","0.00","58","65","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-18","7.16","0.00","60","68","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-19","6.71","0.00","62","66","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-20","5.14","0.00","61","77","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-21","6.71","0.00","64","78","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-22","8.72","0.00","62","66","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-23","6.93","0.00","60","65","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-24","6.04","0.00","59","66","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-25","4.92","0.00","62","79","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-26","4.25","0.00","68","81","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-27","4.25","0.00","70","85","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-28","6.04","0.00","73","87","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-29","7.61","0.00","65","72","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-01","8.95","0.00","60","63","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-02","7.83","0.00","58","76","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-03","8.72","0.00","69","80","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-04","6.93","0.00","62","73","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-05","7.38","0.00","60","67","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-06","5.82","0.00","60","67","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-07","8.72","0.01","59","65","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-08","6.04","0.00","58","64","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-09","6.49","0.06","60","73","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-10","9.62","0.11","63","67","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-11","8.05","0.00","64","70","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-12","5.59","1.06","60","62","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-13","4.92","0.55","57","60","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-14","4.25","0.08","58","62","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-15","6.71","0.08","59","65","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-16","9.17","0.36","59","64","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-17","6.93","0.05","54","61","47"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-18","10.29","0.00","55","64","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-19","6.71","0.02","58","62","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-20","7.83","0.00","57","66","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-21","7.61","0.00","61","66","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-22","8.05","1.73","60","70","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-23","11.18","0.00","60","65","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-24","9.62","0.00","59","65","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-25","12.97","0.00","59","63","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-26","13.65","0.00","57","62","49"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-27","11.41","0.00","57","64","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-28","8.72","0.00","58","65","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-29","10.51","0.00","59","66","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-30","7.16","0.00","60","70","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-31","6.04","0.00","62","72","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-01","6.71","0.00","63","69","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-02","8.95","0.00","63","69","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-03","6.49","0.00","62","67","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-04","7.83","0.00","60","67","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-05","9.84","0.06","60","65","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-06","9.62","1.22","59","62","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-07","8.28","0.26","59","66","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-08","7.38","0.01","55","62","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-09","8.72","0.88","55","57","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-10","6.93","0.23","55","67","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-11","7.16","0.00","60","68","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-12","6.26","0.02","60","62","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-13","8.05","0.00","61","65","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-14","6.71","0.00","60","67","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-15","6.93","0.00","65","79","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-16","7.61","0.00","64","70","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-17","6.71","0.00","61","67","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-18","11.41","0.00","62","67","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-19","11.18","0.00","62","67","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-20","12.08","0.00","62","67","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-21","7.38","0.00","62","70","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-22","8.50","0.00","65","81","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-23","6.26","0.00","72","86","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-24","7.61","0.00","71","85","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-25","6.04","0.00","73","84","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-26","6.04","0.00","67","74","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-27","5.82","0.00","66","73","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-28","6.04","0.00","68","75","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-29","6.26","0.00","65","71","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-30","5.82","0.00","65","70","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-01","6.26","0.00","65","72","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-02","7.61","0.00","67","73","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-03","6.04","0.00","66","72","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-04","6.71","0.00","66","74","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-05","6.49","0.00","70","80","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-06","5.14","0.00","72","86","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-07","5.37","0.00","74","87","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-08","6.49","0.00","71","77","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-09","6.71","0.00","69","74","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-10","9.40","0.00","66","71","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-11","11.18","0.00","65","71","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-12","9.62","0.00","64","72","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-13","9.84","0.00","65","71","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-14","9.84","0.00","66","73","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-15","7.61","0.00","65","73","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-16","6.49","0.00","66","74","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-17","9.62","0.00","66","75","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-18","12.75","0.12","64","70","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-19","13.42","0.00","62","68","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-20","8.50","0.00","62","68","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-21","7.61","0.00","64","73","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-22","7.83","0.00","66","75","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-23","8.50","0.00","64","70","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-24","7.38","0.00","63","70","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-25","7.83","0.00","63","69","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-26","7.16","0.00","63","69","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-27","6.93","0.00","62","69","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-28","7.16","0.00","62","68","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-29","7.61","0.00","62","68","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-30","11.86","0.00","64","71","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-31","9.62","0.00","64","70","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-01","9.40","0.00","65","75","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-02","6.93","0.00","67","76","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-03","8.72","0.00","67","78","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-04","8.50","0.00","67","74","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-05","8.28","0.00","67","70","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-06","11.18","0.00","65","69","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-07","11.86","0.00","65","72","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-08","12.97","0.00","71","84","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-09","8.50","0.00","78","93","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-10","7.38","0.00","78","89","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-11","6.93","0.00","72","78","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-12","8.72","0.00","65","70","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-13","9.17","0.00","65","73","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-14","7.16","0.00","65","73","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-15","7.16","0.00","67","74","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-16","8.05","0.00","66","71","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-17","7.83","0.00","67","74","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-18","6.93","0.00","65","70","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-19","9.62","0.00","66","71","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-20","9.40","0.00","65","70","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-21","7.61","0.00","66","72","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-22","7.83","0.00","66","73","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-23","8.05","0.00","65","71","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-24","6.93","0.00","64","70","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-25","7.83","0.00","65","72","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-26","8.05","0.00","65","70","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-27","7.16","0.00","65","71","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-28","8.05","0.00","66","69","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-29","8.50","0.00","66","71","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-30","8.05","0.00","65","71","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-01","6.71","0.00","65","71","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-02","8.50","0.00","67","74","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-03","9.84","0.00","66","72","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-04","7.83","0.00","68","76","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-05","6.49","0.00","70","80","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-06","7.38","0.00","70","78","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-07","7.16","0.00","70","76","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-08","7.38","0.00","69","76","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-09","7.38","0.00","68","75","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-10","7.16","0.00","68","76","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-11","8.05","0.00","69","79","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-12","6.93","0.00","73","81","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-13","8.72","0.00","71","78","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-14","8.72","0.00","69","75","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-15","8.72","0.00","67","72","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-16","9.40","0.00","66","72","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-17","9.62","0.00","67","74","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-18","10.51","0.00","67","72","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-19","10.07","0.00","65","71","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-20","8.28","0.00","65","71","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-21","8.05","0.00","66","73","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-22","7.83","0.00","63","70","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-23","8.05","0.00","65","73","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-24","8.05","0.00","66","73","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-25","7.61","0.00","66","72","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-26","9.17","0.00","64","69","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-27","9.17","0.00","64","68","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-28","8.95","0.00","63","70","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-29","8.72","0.00","64","69","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-30","7.83","0.00","62","71","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-31","7.61","0.00","67","76","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-01","5.82","0.00","69","81","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-02","5.82","0.00","69","75","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-03","6.71","0.00","69","73","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-04","6.71","0.00","68","74","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-05","8.28","0.00","67","73","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-06","7.83","0.00","67","74","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-07","7.61","0.00","67","73","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-08","8.05","0.00","66","72","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-09","9.17","0.00","65","71","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-10","9.40","0.00","65","71","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-11","9.40","0.00","64","69","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-12","7.16","0.00","65","73","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-13","6.49","0.00","70","83","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-14","7.38","0.00","74","81","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-15","5.82","0.00","75","87","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-16","7.38","0.00","78","93","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-17","6.93","0.00","72","78","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-18","6.93","0.00","74","85","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-19","6.71","0.00","77","85","73"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-20","5.59","0.00","76","85","72"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-21","6.93","0.00","75","81","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-22","6.71","0.00","77","90","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-23","8.50","0.00","77","83","71"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-24","10.51","0.00","72","74","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-25","8.72","0.00","71","76","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-26","8.28","0.00","70","76","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-27","6.93","0.00","71","79","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-28","9.17","0.00","69","75","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-29","8.50","0.00","66","72","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-30","8.28","0.00","67","73","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-31","7.83","0.00","67","72","64"
